55,96,7
56,96,7
57,96,7
58,96,7
59,96,7
60,97,7
61,97,7
62,97,7
63,97,7
64,97,7
65,97,7
66,97,7
67,97,7
68,97,7
69,97,7
70,97,7
71,97,7
72,97,7
73,97,7
74,97,7
75,97,7
76,97,7
77,97,7
78,97,7
79,97,7
80,97,7
81,97,7
82,97,7
83,97,7
84,97,7
85,97,7
86,97,7
87,97,7
88,97,7
89,97,7
90,97,7
91,97,7
92,97,7
93,97,7
94,97,7
95,97,7
96,97,7
97,97,7
98,97,7
99,97,7
100,97,7
101,97,7
102,97,7
103,97,7
104,97,7
105,97,7
106,98,7
107,99,7
108,100,7
109,101,7
110,102,7
111,103,7
112,104,7
113,105,7
114,106,7
115,107,7
116,108,7
117,109,7
118,110,7
119,111,7
120,112,7
121,113,7
122,114,7
123,115,7
124,116,7
125,117,7
126,118,7
127,119,7
128,120,7
129,121,7
130,122,7
131,123,7
132,124,7
133,125,7
134,126,7
135,127,7
136,127,7
137,128,7
138,129,7
139,130,7
140,131,7
141,132,7
142,133,7
143,134,7
144,135,7
145,136,7
146,137,7
147,138,7
148,139,7
149,140,7
150,141,7
151,142,7
152,142,7
153,142,7
154,143,7
155,144,7
156,145,7
157,146,7
158,147,7
159,148,7
160,149,7
161,150,7
161,151,7
161,152,7
161,153,7
161,154,7
161,155,7
161,156,7
161,157,7
161,158,7
161,159,7
161,160,7
160,161,7
159,162,7
158,163,7
157,164,7
156,165,7
155,166,7
154,167,7
153,167,8
152,167,8
151,167,8
150,168,8
149,169,7
148,169,7
147,169,7
146,169,7
145,169,7
144,169,7
143,169,7
142,168,7
141,167,8
140,167,8
139,166,6
138,166,6
137,166,6
136,166,6
135,166,6
134,166,6
133,166,6
132,166,6
131,166,6
130,166,6
129,166,6
128,166,6
127,166,6
126,166,6
125,166,6
124,166,6
123,166,6
122,166,6
121,166,6
120,166,6
119,166,6
118,166,6
117,166,6
116,166,6
115,166,6
114,166,6
113,166,6
112,166,6
111,166,6
110,166,6
109,166,5
108,166,5
107,166,6
106,166,6
105,166,6
104,166,6
103,166,6
102,166,6
101,166,6
100,166,6
99,166,6
98,166,6
97,165,6
96,165,6
95,164,6
94,163,6
93,162,6
92,162,6
91,162,6
90,162,6
89,162,6
88,162,6
87,162,6
86,162,6
85,162,6
84,162,6
83,162,6
82,162,6
81,162,6
80,163,6
79,164,6
78,165,6
77,166,6
76,166,6
75,166,6
74,166,6
73,166,6
72,167,6
71,167,6
70,167,6
69,167,6
68,167,6
67,167,6
66,167,6
65,167,6
64,167,4
63,167,4
62,167,4
61,167,4
60,167,4
59,167,4
58,167,4
57,167,4
56,167,4
55,167,4
54,166,4
53,166,4
52,166,4
51,166,4
50,166,4
49,166,4
48,166,4
47,166,4
46,166,4
45,166,4
44,166,4
43,166,4
42,166,4
41,166,4
40,166,4
39,166,4
38,166,4
37,166,4
36,166,4
35,166,4
34,165,4
33,164,4
32,163,4
31,162,4
30,161,4
29,160,4
28,159,4
28,158,4
27,157,4
27,156,4
27,155,4
27,154,4
27,153,4
27,152,4
27,151,4
27,150,4
27,149,4
27,148,4
27,147,4
27,146,4
27,145,4
28,144,4
29,143,4
30,142,4
31,141,4
32,141,4
33,141,4
34,141,4
35,141,4
36,141,4
37,141,4
38,141,4
39,141,4
40,141,4
41,140,4
42,139,4
43,138,4
44,137,4
44,136,4
45,135,4
46,134,4
47,133,4
48,132,4
49,131,4
49,130,4
50,129,4
50,128,4
50,127,4
50,126,4
50,125,4
50,124,4
50,123,4
50,122,4
51,121,4
52,120,4
53,119,4
53,118,4
53,117,4
53,116,4
53,115,4
53,114,4
53,113,4
54,112,4
54,111,4
55,110,4
56,109,4
57,108,4
58,107,4
59,106,4
60,105,4
61,104,4
62,103,4
63,102,4
64,101,4
65,100,4
66,99,4
